,Title,Author,Publication Date
0,A Court of Silver Flames (A Court of Thorns and Roses Series #4),by Sarah J. Maas, (02/16/2021)
1,The Four Winds,by Kristin Hannah, (02/02/2021)
2,The Viscount Who Loved Me (Bridgerton Series #2) (With 2nd Epilogue),by Julia Quinn, (04/28/2015)
3,An Offer from a Gentleman (Bridgerton Series #3) (with 2nd Epilogue),by Julia Quinn, (08/25/2015)
4,"Jujutsu Kaisen, Vol. 2",by Gege Akutami, (02/04/2020)
5,Romancing Mister Bridgerton (Bridgerton Series #4) (With 2nd Epilogue),by Julia Quinn, (11/24/2015)
6,Just as I Am,by Cicely Tyson, (01/26/2021)
7,"World of Wonders: In Praise of Fireflies, Whale Sharks, and Other Astonishments (B&N Exclusive Gift Edition) (B&N Book of the Year)",by Aimee Nezhukumatathil, (12/02/2020)
8,They Both Die at the End,by Adam Silvera, (12/18/2018)
9,"Jujutsu Kaisen, Vol. 3",by Gege Akutami, (04/07/2020)
10,"To Sir Phillip, with Love (Bridgerton Series #5) (With 2nd Epilogue)",by Julia Quinn, (01/31/2017)
11,A Court of Thorns and Roses (A Court of Thorns and Roses Series #1),by Sarah J. Maas, (06/02/2020)
12,Firefly Lane,by Kristin Hannah, (01/06/2009)
13,The Sanatorium,by Sarah Pearse, (02/02/2021)
14,How to Avoid a Climate Disaster: The Solutions We Have and the Breakthroughs We Need,by Bill Gates, (02/16/2021)
15,"Horimiya, Vol. 1",by HERO, (10/27/2015)
16,The Song of Achilles,by Madeline Miller, (08/28/2012)
17,It's in His Kiss (Bridgerton Series #7) (With 2nd Epilogue),by Julia Quinn, (03/28/2017)
18,Eight Perfect Murders,by Peter Swanson, (01/26/2021)
19,The Sum of Us: What Racism Costs Everyone and How We Can Prosper Together,by Heather McGhee, (02/16/2021)
20,A Court of Wings and Ruin (A Court of Thorns and Roses Series #3),by Sarah J. Maas, (06/02/2020)
21,"Jujutsu Kaisen, Vol. 4",by Gege Akutami, (06/02/2020)
22,The Midnight Library,by Matt Haig, (09/29/2020)
23,We Were Liars,by E. Lockhart, (05/29/2018)
24,"Four Hundred Souls: A Community History of African America, 1619-2019",by Ibram X. Kendi, (02/02/2021)
25,The Invisible Life of Addie LaRue,by V. E. Schwab, (10/06/2020)
26,"Horimiya, Vol. 3",by HERO, (04/26/2016)
27,"Horimiya, Vol. 2",by HERO, (01/26/2016)
28,"Jujutsu Kaisen, Vol. 6",by Gege Akutami, (10/06/2020)
29,Think Again: The Power of Knowing What You Don't Know (Signed Book),by Adam Grant, (02/02/2021)
30,A Court of Mist and Fury (A Court of Thorns and Roses Series #2),by Sarah J. Maas, (06/02/2020)
31,"Jujutsu Kaisen, Vol. 1",by Gege Akutami, (12/03/2019)
32,"Jujutsu Kaisen, Vol. 5",by Gege Akutami, (08/04/2020)
33,A Court of Frost and Starlight (A Court of Thorns and Roses Series),by Sarah J. Maas, (06/02/2020)
34,Chain of Iron,by Cassandra Clare, (03/02/2021)
35,"Demon Slayer: Kimetsu no Yaiba, Vol. 8",by Koyoharu Gotouge, (09/03/2019)
36,The Paris Library,by Janet Skeslien Charles, (02/09/2021)
37,"What It's Like to Be a Bird: From Flying to Nesting, Eating to Singing--What Birds Are Doing, and Why",by David Allen Sibley, (04/14/2020)
38,The Desolations of Devil's Acre (Signed B&N Exclusive Book) (Miss Peregrine's Peculiar Children Series #6),by Ransom Riggs, (02/23/2021)
39,Tiny Beautiful Things: Advice on Love and Life from Dear Sugar,by Cheryl Strayed, (07/10/2012)
40,City Spies (City Spies Series #1),by James Ponti, (01/26/2021)
41,The Sum of Us: What Racism Costs Everyone and How We Can Prosper Together,by Heather McGhee, (02/16/2021)
42,The Hill We Climb: An Inaugural Poem for the Country,by Amanda Gorman, (03/30/2021)
43,The House in the Cerulean Sea,by TJ Klune, (12/29/2020)
44,Keep Sharp: Build a Better Brain at Any Age,by Sanjay Gupta M.D., (01/05/2021)
45,Rule of Wolves (B&N Exclusive Edition) (King of Scars Duology Series #2),by Leigh Bardugo, (03/30/2021)
46,A Good Girl's Guide to Murder,by Holly Jackson, (01/05/2021)
47,Circe,by Madeline Miller, (04/14/2020)
