,Book,Author(s),Original language,First published,Approximate sales
1,Matilda,Roald Dahl,English,1988,17 million
2,The Book Thief,Markus Zusak,English,2005,16 million
3,The Horse Whisperer,Nicholas Evans,English,1995,16 million
4,Goodnight Moon,Margaret Wise Brown,English,1947,16 million
5,The Neverending Story (Die unendliche Geschichte),Michael Ende,German,1979,16 million
6,Fifty Shades of Grey,E. L. James,English,2011,15.2 million in U.S.
7,The Outsiders,S. E. Hinton,English,1967,15 million
8,Guess How Much I Love You,Sam McBratney,English,1994,15 million
9,Shōgun,James Clavell,English,1975,15 million
10,The Poky Little Puppy,Janette Sebring Lowrey,English,1942,15 million
11,The Pillars of the Earth,Ken Follett,English,1989,15 million
12,How to Win Friends and Influence People,Dale Carnegie,English,1936,15 million
13,Perfume (Das Parfum),Patrick Süskind,German,1985,15 million
14,The Grapes of Wrath,John Steinbeck,English,1939,15 million
15,The Shadow of the Wind (La sombra del viento),Carlos Ruiz Zafón,Spanish,2001,15 million
16,Interpreter of Maladies,Jhumpa Lahiri,English,2000,15 million
17,Becoming,Michelle Obama,English,2018,14 million
18,The Hitchhiker's Guide to the Galaxy,Douglas Adams,English,1979,14 million
19,Tuesdays with Morrie,Mitch Albom,English,1997,14 million
20,God's Little Acre,Erskine Caldwell,English,1933,14 million
21,Follow Your Heart (Va' dove ti porta il cuore),Susanna Tamaro,Italian,1994,14 million
22,A Wrinkle in Time,Madeleine L'Engle,English,1962,14 million
23,Long Walk to Freedom,Nelson Mandela,English,1994,14 million
24,The Old Man and the Sea,Ernest Hemingway,English,1952,13 million
25,Life After Life,Raymond Moody,English,1975,13 million
26,Me Before You,Jojo Moyes,English,2012,12 million
27,Norwegian Wood (ノルウェイの森),Haruki Murakami,Japanese,1987,12 million
28,Peyton Place,Grace Metalious,English,1956,12.1 million
29,The Plague (La Peste),Albert Camus,French,1947,12 million
30,No Longer Human (人間失格),Osamu Dazai,Japanese,1948,12 million
31,Man's Search for Meaning (Ein Psychologe erlebt das Konzentrationslager),Viktor Frankl,German,1946,12 million
32,The Divine Comedy (La Divina Commedia),Dante Alighieri,Italian,1304,12 million (during 20th century)
33,The Prophet,Kahlil Gibran,English,1923,11 million
34,The Exorcist,William Peter Blatty,English,1971,11 million
35,The Gruffalo,Julia Donaldson,English,1999,10.5 million
36,Fifty Shades Darker,E. L. James,English,2012,10.4 million in U.S.
37,"Ronia, the Robber's Daughter",Astrid Lindgren,Swedish,1981,10 million
38,The Cat in the Hat,Dr. Seuss,English,1957,10.5 million
39,Diana: Her True Story,Andrew Morton,English,1992,10 million
40,The Help,Kathryn Stockett,English,2009,10 million
41,Catch-22,Joseph Heller,English,1961,10 million
42,The Stranger (L'Étranger),Albert Camus,French,1942,10 million
43,Eye of the Needle,Ken Follett,English,1978,10 million
44,The Lovely Bones,Alice Sebold,English,2002,10 million
45,Wild Swans,Jung Chang,English,1992,10 million
46,Santa Evita,Tomás Eloy Martínez,Spanish,1995,10 million
47,Night (Un di Velt Hot Geshvign),Elie Wiesel,Yiddish,1958,10 million
48,Confucius from the Heart (于丹《论语》心得),Yu Dan,Chinese,2006,10 million
49,The Total Woman,Marabel Morgan,English,1974,10 million
50,Knowledge-value Revolution (知価革命),Taichi Sakaiya,Japanese,1985,10 million
51,Problems in China's Socialist Economy (中国社会主义经济问题研究),Xue Muqiao,Chinese,1979,10 million
52,What Color Is Your Parachute?,Richard Nelson Bolles,English,1970,10 million
53,The Dukan Diet,Pierre Dukan,French,2000,10 million
54,The Joy of Sex,Alex Comfort,English,1972,10 million
55,The Gospel According to Peanuts,Robert L. Short,English,1965,10 million
56,Life of Pi,Yann Martel,English,2001,10 million
57,The Giver,Lois Lowry,English,1993,10 million
58,The Front Runner,Patricia Nell Warren,English,1974,10 million
59,The Goal,Eliyahu M. Goldratt,English,1984,10 million
60,Fahrenheit 451,Ray Bradbury,English,1953,10 million
61,Angela's Ashes,Frank McCourt,English,1996,10 million
